Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
01-Sep-2023,EQ,38.7,38.85,37.75,38.7,38.45,38.35,38.37,40.4,16.9,"3,05,06,396","1,17,04,96,928.10","29,729"
31-Aug-2023,EQ,39.15,39.5,38.55,38.95,38.65,38.7,38.93,40.4,16.9,"1,58,67,994","61,77,81,692.80","19,063"
30-Aug-2023,EQ,39.4,39.6,38.75,39.1,38.8,38.95,39.16,40.4,16.9,"1,51,34,173","59,26,93,540.55","17,197"
29-Aug-2023,EQ,39.5,39.7,38.9,39.4,39.15,39.1,39.24,40.4,16.9,"1,77,58,767","69,68,39,683.00","21,108"
28-Aug-2023,EQ,39.25,40.4,38.6,39.15,39.35,39.4,39.56,40.4,16.9,"2,96,68,676","1,17,37,01,372.95","29,948"
25-Aug-2023,EQ,39.4,39.6,38.25,39.45,38.95,39.15,38.93,40.4,16.9,"2,79,65,086","1,08,87,02,637.20","31,530"
24-Aug-2023,EQ,39.85,40.4,39.3,39.65,39.45,39.45,39.84,40.4,16.9,"3,93,23,484","1,56,67,35,617.15","34,221"
23-Aug-2023,EQ,38.3,40.1,38.2,38.15,39.75,39.65,39.46,40.1,16.9,"7,08,52,716","2,79,55,86,086.70","49,880"
22-Aug-2023,EQ,38.3,38.8,38.0,38.25,38.2,38.15,38.37,39.55,16.9,"1,84,43,963","70,77,12,258.30","21,144"
21-Aug-2023,EQ,38.65,39.05,38.1,38.45,38.3,38.25,38.43,39.55,16.9,"2,55,59,962","98,21,79,735.00","26,164"
18-Aug-2023,EQ,38.45,39.55,38.1,38.65,38.45,38.45,38.8,39.55,16.9,"4,61,94,520","1,79,24,10,500.10","39,298"
17-Aug-2023,EQ,38.45,39.2,38.05,38.4,38.6,38.65,38.63,39.35,16.9,"4,19,82,876","1,62,17,62,942.85","42,096"
16-Aug-2023,EQ,38.65,39.35,38.05,38.85,38.3,38.4,38.7,39.35,16.9,"5,05,60,206","1,95,68,47,120.35","47,808"
14-Aug-2023,EQ,37.85,39.2,36.2,37.65,38.8,38.85,38.15,39.2,16.9,"9,03,35,069","3,44,62,05,112.45","75,009"
11-Aug-2023,EQ,36.8,38.8,36.8,36.6,37.65,37.65,37.98,38.8,16.9,"8,54,64,693","3,24,62,86,986.95","70,902"
10-Aug-2023,EQ,37.4,37.4,36.1,37.3,36.7,36.6,36.87,37.65,16.9,"4,05,57,963","1,49,51,89,633.95","44,958"
09-Aug-2023,EQ,36.4,37.65,36.25,36.25,37.45,37.3,37.05,37.65,16.9,"9,10,76,608","3,37,42,68,086.45","82,888"
08-Aug-2023,EQ,34.0,36.5,33.7,33.85,36.15,36.25,35.42,36.5,16.9,"11,96,61,538","4,23,85,06,819.95","94,156"
07-Aug-2023,EQ,34.15,34.45,33.7,33.85,33.8,33.85,33.91,36.25,16.9,"1,49,18,389","50,59,51,143.75","17,803"
04-Aug-2023,EQ,34.1,34.5,33.7,33.85,33.9,33.85,34.07,36.25,16.8,"1,97,93,627","67,44,25,648.20","21,635"
03-Aug-2023,EQ,33.5,34.35,33.25,33.35,33.9,33.85,33.82,36.25,16.8,"3,20,88,778","1,08,51,34,379.85","25,563"
